ID_src,l,b,yield,alphaCadence,alphaTexp
909,1.4,3.6,0.15651024901607039,-0.3652001445067031,0.5808042653830304
910,1.4,3.8,0.12458381934068222,-0.33407273264802206,0.5686113383428102
850,1.2,-4.0,0.160623800229786,-0.29526856579936867,0.5605207807450278
849,1.2,-3.8,0.1902176565766548,-0.318469211763712,0.45326879463924097
848,1.2,-3.6,0.22494140420304298,-0.31502273755950233,0.4809890055810149
847,1.2,-3.4,0.2607985783808442,-0.35198265104790727,0.6791162469177912
846,1.2,-3.2,0.2970593540263356,-0.3662374946951007,0.5588864279061871
845,1.2,-3.0,0.35537777783417823,-0.376659900374765,0.4386667920150834
844,1.2,-2.8,0.4197123340330332,-0.3963700794402787,0.6150749694558214
843,1.2,-2.6,0.5058032499256626,-0.3938237024670737,0.5615240918945112
842,1.2,-2.4,0.5457698898148584,-0.41567299990411233,0.6293976625199144
841,1.2,-2.2,0.6599616264980892,-0.4071924659670438,0.5803695630528855
840,1.2,-2.0,0.738090982307583,-0.43863285937579694,0.7755837989931833
839,1.2,-1.8,0.876881271341988,-0.47373582184490126,0.7005978559502057
838,1.2,-1.6,1.0637256382908582,-0.45822412959634723,0.7323910127656932
837,1.2,-1.4,1.0822983843301488,-0.45698933219367815,0.5823666493847542
836,1.2,-1.2,1.2731446216355027,-0.45056840031612044,0.6774201290297788
835,1.2,-1.0,1.411924896360186,-0.46752244768302076,0.32116510035461293
834,1.2,-0.8,1.403763623194062,-0.5230867472523967,0.6111740939928701
833,1.2,-0.6,1.1536315404845718,-0.49222005196827695,0.7171794597451862
832,1.2,-0.4,0.7465376529063342,-0.4501195938638997,0.621512479401068
831,1.2,-0.2,0.388320081728241,-0.4149756780852006,0.7609531052893884
851,1.2,0.0,0.5142555653651556,-0.4095908329253385,0.6266238954569283
852,1.2,0.2,0.2633644855717368,-0.40270883679785724,0.6580303781849464
853,1.2,0.4,0.5347369713968382,-0.4536872443454836,0.8477504858539652
854,1.2,0.6,1.1248754588749452,-0.4566061458396865,0.6895103205234483
855,1.2,0.8,1.1807731416246803,-0.4532261976734931,0.6766925413160229
856,1.2,1.0,1.1440140601154387,-0.4799754579097818,0.6724034916809772
857,1.2,1.2,1.1732443971624953,-0.4852558383964319,0.7632285131409782
858,1.2,1.4,1.0167471025442563,-0.4713396593203852,0.6000767865064742
859,1.2,1.6,0.9256739305885314,-0.4584986720013718,0.502545493893095
860,1.2,1.8,0.6060804609497839,-0.46118879088945364,0.7101355088180816
861,1.2,2.0,0.6572472651158214,-0.4489516648240642,0.665943223281091
862,1.2,2.2,0.530969377055787,-0.4458730991231344,0.61527985631225
863,1.2,2.4,0.430751831392074,-0.4176703421154387,0.5570949523624981
864,1.2,2.6,0.40742996331846126,-0.393615295848247,0.6179985392116402
865,1.2,2.8,0.37201604884767603,-0.4045779656726952,0.6066826785440141
866,1.2,3.0,0.2949057506835522,-0.38142050791398524,0.6476315256494845
